Select,XPath,Examples
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/bf:identifiedBy/bf:Identifier/rdf:value,"D011572
D019513
D008093"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/bf:identifiedBy/bf:Identifier/bf:source/bf:Source/bf:code,DNLM
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/bflc:appliesTo/bflc:AppliesTo/rdfs:label,"1
2"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/bf:note/bf:Note/rdfs:label,1861-1865
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/rdf:type,"http://id.loc.gov/ontologies/bibframe/Person
http://www.loc.gov/mads/rdf/v1#PersonalName"
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/madsrdf:authoritativeLabel,"Judd, Deane Brewster, 1900-1972
Michelangelo Buonarroti, 1475-1564
Schmidt, Franz, 1874 December 22-1939"
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/madsrdf:isMemberOfMADSScheme,http://id.loc.gov/authorities/subjects
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/bflc:marcKey,"60010$aJudd, Deane Brewster,$d1900-1972.
60000$aMichelangelo Buonarroti,$d1475-1564.
60010$aSchmidt, Franz,$d1874 December 22-1939."
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/rdfs:label,"Judd, Deane Brewster, 1900-1972
Michelangelo Buonarroti, 1475-1564
Schmidt, Franz, 1874 December 22-1939"
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/bf:source/bf:Source/bf:code,"696 % PRO
696 % PRO.
696 % IMP"
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/bf:identifiedBy/bf:Identifier/rdf:value,"fst00015004
fst00012188
fst00057769"
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/bf:identifiedBy/bf:Identifier/bf:source/bf:Source/bf:code,OCoLC
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/bflc:relationship/bflc:Relationship/bflc:relation/bflc:Relation/rdfs:label,"engraver
ill.
binding designer"
,/rdf:RDF/bf:Work/bf:subject/bf:Agent/bflc:relationship/bflc:Relationship/bf:relatedTo,"https://library.yale.edu/data/739385#Work
https://library.yale.edu/data/581017#Work"
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/rdf:type,http://www.loc.gov/mads/rdf/v1#NameTitle
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/madsrdf:authoritativeLabel,"Shakespeare, William, 1564-1616. Tempest.
Goethe, Johann Wolfgang von, 1749-1832. Faust.
Undset, Sigrid, 1882-1949. Kristin Lavransdatter."
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/madsrdf:isMemberOfMADSScheme,http://id.loc.gov/authorities/subjects
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/rdf:type,http://id.loc.gov/ontologies/bibframe/Person
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/bflc:marcKey,"60010$aShakespeare, William,$d1564-1616.$tTempest.
60010$aGoethe, Johann Wolfgang von,$d1749-1832.$tFaust.
60010$aUndset, Sigrid,$d1882-1949.$tKristin Lavransdatter."
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/rdfs:label,"Shakespeare, William, 1564-1616
Goethe, Johann Wolfgang von, 1749-1832
Undset, Sigrid, 1882-1949"
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/bf:contribution/bf:Contribution/bf:role/bf:Role,http://id.loc.gov/vocabulary/relators/ctb
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/bf:title/bf:Title/bf:mainTitle,"Tempest
Faust
Kristin Lavransdatter"
,/rdf:RDF/bf:Work/bf:subject/bf:Hub/bf:title/bf:Title/bf:partName,"O.T.
Ezra"
